id,lat,long,name
108,51.49812559,-0.132102166,Abbey Orchard Street  Westminster
109,51.51563144,-0.132328837,Soho Square   Soho
110,51.53304322,-0.17252867800000002,Wellington Road  St. John's Wood
111,51.5100172,-0.157275636,Park Lane   Hyde Park
112,51.51580998,-0.105270275,Stonecutter Street  Holborn
113,51.49646288,-0.183289032,Gloucester Road (Central)  South Kensington
114,51.52451738,-0.15896364699999999,Park Road (Baker Street)  Regent's Park
115,51.51423368,-0.07353765400000001,Braham Street  Aldgate
116,51.51449962,-0.141423695,Little Argyll Street  West End
117,51.49288067,-0.114934001,Lollard Street  Vauxhall
118,51.49582705,-0.13547809,Rochester Row  Westminster
119,51.52589324,-0.090847761,Bath Street  St. Luke's
120,51.51573534,-0.093080779,The Guildhall  Guildhall
121,51.51891348,-0.156166631,Baker Street  Marylebone
122,51.52111369,-0.078869751,Norton Folgate  Liverpool Street
123,51.52836014,-0.104724625,St. John Street  Finsbury
124,51.49654462,-0.150905245,Eaton Square  Belgravia
125,51.50069491,-0.09452431900000001,Borough High Street  The Borough
126,51.51782144,-0.096496865,Museum of London  Barbican
127,51.51700801,-0.09388536,Wood Street  Guildhall
128,51.49536226,-0.18529651600000002,Emperor's Gate  South Kensington
129,51.5118973,-0.137043852,Golden Square  Soho
130,51.50950627,-0.07545948200000001,Tower Gardens   Tower
131,51.53300545,-0.136792671,Eversholt Street   Camden Town
132,51.52364804,-0.074754872,Bethnal Green Road  Shoreditch
133,51.50136494,-0.19146238100000001,Derry Street  Kensington
134,51.504903999999996,-0.06797,Wapping High Street  Wapping
135,51.52326004,-0.104708922,Clerkenwell Green  Clerkenwell
136,51.51196176,-0.097441687,Queen Victoria Street  St. Paul's
137,51.49087475,-0.153319609,Bourne Street  Belgravia
138,51.51227622,-0.15743697199999998,Green Street  Mayfair
139,51.49488108,-0.117974901,Lambeth Road  Vauxhall
140,51.52096262,-0.085634242,Finsbury Square   Moorgate
141,51.51530805,-0.147203711,Chapel Place  Marylebone
142,51.49372451,-0.198286569,West Cromwell Road  Earl's Court
143,51.4968865,-0.16120382800000002,Pont Street  Knightsbridge
144,51.48894022,-0.11143579599999999,Kennington Cross  Kennington
145,51.50074359,-0.202759212,Ilchester Place  Kensington
146,51.48836528,-0.129361842,Vauxhall Bridge   Pimlico
147,51.51494305,-0.11614642,Portugal Street  Holborn
148,51.49211134,-0.13836484699999999,Tachbrook Street  Victoria
149,51.48478899,-0.110683213,Kennington Road Post Office  Oval
150,51.49705603,-0.168917077,Holy Trinity Brompton  Knightsbridge
151,51.51213691,-0.201554966,Chepstow Villas  Notting Hill
152,51.49217002,-0.101536865,Hampton Street  Walworth
153,51.51183419,-0.174292825,Bayswater Road  Hyde Park
154,51.50379168,-0.11282408,Waterloo Station 3  Waterloo
155,51.49586666,-0.191933711,Lexham Gardens  Kensington
156,51.49443626,-0.092921165,New Kent Road  Borough
157,51.50039792,-0.193068385,Wright's Lane  Kensington
158,51.49085368,-0.196170309,Trebovir Road  Earl's Court
159,51.51461995,-0.137841333,Great Marlborough Street  Soho
160,51.50663341,-0.131773845,Waterloo Place  St. James's
161,51.49234577,-0.14133448699999998,Guildhouse Street  Victoria
162,51.51760685,-0.12132840800000001,Southampton Place  Holborn
163,51.4931848,-0.167894973,Sloane Avenue  Knightsbridge
164,51.515607,-0.183118788,Cleveland Gardens  Bayswater
165,51.517932,-0.18371695899999999,Orsett Terrace  Bayswater
166,51.50185512,-0.159237081,Seville Street  Knightsbridge
167,51.49395092,-0.147624377,Eccleston Place  Victoria
168,51.50040123,-0.195455928,Argyll Road  Kensington
169,51.51474612,-0.16516428800000002,Porchester Place  Paddington
170,51.52784273,-0.108068155,Hardwick Street  Clerkenwell
171,51.4916156,-0.186753859,Collingham Gardens  Earl's Court
172,51.49121192,-0.17371591100000006,Sumner Place  South Kensington
173,51.50486,-0.113001,Waterloo Roundabout  Waterloo 
174,51.512529,-0.11516300000000004,Strand  Strand
175,51.52174384,-0.0811189,Appold Street  Liverpool Street
176,51.51791921,-0.188098863,Gloucester Terrace  Bayswater
177,51.49616092,-0.140947636,Ashley Place  Victoria
178,51.48985626,-0.141923621,Warwick Square  Pimlico
180,51.5129118,-0.153645496,North Audley Street  Mayfair
181,51.49941247,-0.152317537,Belgrave Square  Belgravia
182,51.52202903,-0.165842551,Bell Street   Marylebone
184,51.52071513,-0.14521173,Portland Place  Marylebone
185,51.48805753,-0.140741432,Alderney Street  Pimlico
186,51.51733558,-0.175810943,South Wharf Road  Paddington
187,51.49247977,-0.17843300399999998,Queen's Gate (South)  South Kensington
188,51.516517900000004,-0.164393768,Nutford Place  Marylebone
189,51.53166681,-0.109914711,Claremont Square  Angel
190,51.48997562,-0.132845681,Rampayne Street  Pimlico
191,51.50311799,-0.153520935,Hyde Park Corner  Hyde Park
192,51.51251523,-0.133201961,Wardour Street  Soho
193,51.50581776,-0.10018633699999999,Bankside Mix  Bankside
194,51.50462759,-0.091773776,Hop Exchange  The Borough
195,51.50724437,-0.106237501,Milroy Walk  South Bank
196,51.50368837,-0.098497684,Union Street  The Borough
197,51.50556905,-0.11160669599999999,Stamford Street  South Bank
199,51.51048489,-0.082989638,Great Tower Street  Monument
200,51.51492456,-0.066078037,LMU Commercial Road  Whitechapel
201,51.52259650000001,-0.161113413,Dorset Square  Marylebone
202,51.51236389,-0.06954201,Leman Street  Aldgate
203,51.51821864,-0.100791005,West Smithfield Rotunda  Farringdon
204,51.52659961,-0.112432615,Margery Street  Clerkenwell
205,51.518144,-0.06275,New Road  2  Whitechapel
206,51.518153999999996,-0.062697,New Road 1   Whitechapel
207,51.50135267,-0.153194766,Grosvenor Crescent  Belgravia
208,51.52505151,-0.166304359,Mallory Street  Marylebone
209,51.49358391,-0.16510139199999999,Denyer Street  Knightsbridge
210,51.51681444,-0.151926305,Hinde Street  Marylebone
211,51.49464523,-0.158105512,Cadogan Place  Knightsbridge
212,51.50658458,-0.19900402600000008,Campden Hill Road  Notting Hill
213,51.50274025,-0.14956920099999998,Wellington Arch  Hyde Park
214,51.52683806,-0.130504336,Endsleigh Gardens  Euston
215,51.51906932,-0.088285377,Moorfields  Moorgate
216,51.49094565,-0.181190899,Old Brompton Road  South Kensington
217,51.51615461,-0.08242239900000001,Wormwood Street  Liverpool Street
218,51.48971651,-0.17019440800000002,St. Luke's Church  Chelsea
219,51.49016361,-0.19039362,Bramham Gardens  Earl's Court
220,51.49066456,-0.166485083,Chelsea Green  Chelsea
221,51.49481649,-0.13045856,Horseferry Road  Westminster
